ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"203.160.61.99","elite","AS24527","ID","PT Hanastar dakara","168","POP Bekasi Cikarang","4145","socks4","391","98","183","186","2026-08-19T15:25:45.002Z","426"
"132.148.82.125","elite","AS398101","US","GoDaddy.com, LLC","161","GoDaddy.com, LLC","45605","socks5","631","99","311","313","2026-08-19T13:29:11.530Z","499"
"39.68.66.152","elite","AS4837","CN","China Unicom Shandong Province Network","221","N/A","1080","socks5","4475","94","328","348","2026-08-19T13:07:57.009Z","516"
"110.44.115.83","elite","AS45650","NP","Vianet Communications Pvt. Ltd","213","NET COMMUNICATION PUBLIC LIMITED","8080","http","882","100","215","215","2026-08-19T15:01:55.454Z","591"
"27.65.29.247","elite","AS7552","VN","Viettel Group","177","VIETTEL","1080","socks4","730","98","252","257","2026-08-19T07:36:36.520Z","592"
"95.182.78.3","elite","AS50648","UA","PE UAinet","65","PE UAinet","5678","socks4","2828","100","288","288","2026-08-19T11:17:08.228Z","611"
"131.222.210.39","transparent","AS216472","SY","High Speed For Internet Services L.L.C","95","Turk Telekomunikasyon Anonim Sirketi","8080","http","268","58","208","356","2026-08-19T14:39:12.713Z","620"
"195.181.40.34","transparent","AS58224","IR","Iran Telecommunication Company PJS","96","Telecommunication Company of Mazandaran","8080","http","1001","74","270","363","2026-08-19T13:39:07.622Z","635"
"180.191.34.111","transparent","AS132199","PH","Globe Telecom","218","N/A","8081","https","1130","17","61","353","2026-08-19T10:47:24.514Z","638"
"141.11.32.241","transparent","AS16276","NL","OVH SAS","26","N/A","3128","https","419","91","167","184","2026-08-19T13:08:06.308Z","639"
"145.220.226.161","elite","AS1101","NL","SURFnet III d","19","SURFnet bv","8080","http","1256","79","166","209","2026-08-19T13:25:09.609Z","660"
"95.182.78.14","elite","AS50648","UA","PE UAinet","56","PE UAinet","5678","socks4","3038","100","342","342","2026-08-19T13:40:05.521Z","678"
"45.143.108.115","transparent","AS208320","GE","Airmax LLC","57","N/A","8080","http","229","98","110","112","2026-08-19T13:08:17.113Z","687"
"221.161.204.152","transparent","AS4766","KR","Korea Telecom","293","KORNET","3016","https","1951","100","347","347","2026-08-19T13:07:37.326Z","691"
"23.224.193.45","transparent","AS40065","US","Cnservers LLC","150","CloudRadium L.L.C","3128","https","4433","99","361","366","2026-08-19T10:05:03.332Z","692"
